DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3756|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"lsopropa doi"|"NO CAS MATCH FOUND"||Disclosed|||||
3757|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"propan-2-ol"|"NO CAS MATCH FOUND"||Disclosed|||||
3758|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|676300|"isopropyl alcohol"|"NO CAS MATCH FOUND"||Disclosed|||||
3759|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|677561|"methanol"|"NO CAS MATCH FOUND"||Disclosed|||||
3760|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67762907|"siloxanes and silicones, dimethyl, reaction products with silica"|"NO CAS MATCH FOUND"||Disclosed|||||
3761|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68002971|"alcohol ethoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3762|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68002971|"alcohols (c10-c16) ethoxylated)"|"NO CAS MATCH FOUND"||Disclosed|||||
3763|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68002971|"alcohols, c10-16, ethoxylatd"|"NO CAS MATCH FOUND"||Disclosed|||||
3764|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68002971|"c10-c16 ethoxylated alcohols"|"NO CAS MATCH FOUND"||Disclosed|||||
3765|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68111|"thioglycolic acid"|"NO CAS MATCH FOUND"||Disclosed|||||
3766|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68122|"n, n dimethy formamide"|"NO CAS MATCH FOUND"||Disclosed|||||
3767|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68123182|"crosslinked po/eo- block polymer"|"NO CAS MATCH FOUND"||Disclosed|||||
